Osuna,52503
Bello,52442
Cota,52431
Rincon,52369
Olguin,52242
Ceron,52081
Urbina,51525
Robledo,51511
Cardona,51509
Ontiveros,51478
Guadarrama,51417
Briones,50920
Reynoso,50916
Pedraza,50897
Bustos,50716
Angulo,50168
Carreon,50089
Velez,50084
Frias,50069
Casas,49937
Jasso,49818
Gaspar,49725
Millan,49652
Aleman,49378
Jaimes,48857
Negrete,48851
Badillo,48634
Noriega,48448
Tolentino,48176
Mota,48172
Angel,47932
Linares,47807
Heredia,47520
Munguia,47475
Nolasco,47387
Bolaños,47220
Mireles,47048
Puente,46770
Meneses,46683
Ceballos,46500
Vergara,46358
Serna,46353
Alanis,46215
Garrido,46203
Luis,45903
Roblero,45530
Alcala,45249
Lemus,45099
Olmos,45088
Rueda,45010
Cadena,45003
Prieto,44975
Aragon,44932
Chacon,44833
Barraza,44779
Espino,44548
Araujo,44485
Valdivia,44430
Jacobo,44220
Canche,44175
Nicolas,44168
Hinojosa,44156
Chavarria,44079
Poot,43843
Tejeda,43690
Neri,43495
Cerda,43212
Melchor,43209
Alcantar,42934
Cornejo,42435
Lucas,42301
Ledezma,42254
Barcenas,42142
Chi,41576
Saenz,41535
Almanza,41500
Lizarraga,41425
Vicente,41288
Damian,40928
Villaseñor,40882
Matias,40836
Bermudez,40834
Tenorio,40750
Soria,40734
Roldan,40560
Amaya,40554
Mares,40386
Corral,40382
Ordaz,40378
Acuña,40334
Jaime,40164
Arevalo,40152
Rojo,39971
Adame,39734
Camarillo,39281
Banda,39261
Bañuelos,39255
Nieves,39162
Olivas,38944
Ledesma,38755
Amaro,38642
Segundo,38512
Gaona,38408
Montejo,38286
Mateo,38255
Dzul,38226
Ramon,38195
Vilchis,38122
Ceja,38108
Solorzano,37827
Verdugo,37803
Loera,37745
Pantoja,37593
Alba,37437
Vela,37366
Mancilla,37196
Betancourt,37041
Dorantes,37029
Razo,36853
Uc,36806
Estrella,36749
Gastelum,36550
Caamal,36524
Alejandro,36510
Ruelas,36314
Alcaraz,36204
Almaraz,36171
Aceves,36046
Tello,36011
Sarmiento,35544
Alejo,35504
Pedroza,35421
Ruvalcaba,35339
Paez,35338
Saldivar,35312
Landeros,35297
Velasquez,35291
Servin,35256
Viveros,35082
Zambrano,35000
Fierro,34774
Oropeza,34740
Manzano,34722
Oliva,34654
Camargo,34581
Tinoco,34539
Preciado,34258
Landa,34237
Pablo,34111
Perales,34048
Elias,33992
Narvaez,33929
Gordillo,33864
Quiñones,33829
Barbosa,33749
Bojorquez,33655
Aldana,33534
Tamayo,33521
Valerio,33520
Jose,33408
Tirado,33362
Esteban,33353
Zacarias,33177
Niño,33137
Larios,33065
Pascual,32966
Marcial,32948
Rivero,32936
Chable,32860
Aguayo,32809
Elizalde,32797
Salcedo,32714
Ibañez,32698
Teran,32566
Sarabia,32557
Giron,32481
Brito,32477
Segovia,32444
Lomeli,32430
Pimentel,32430
Lucio,32318
Santoyo,32289
Mosqueda,32270
Marroquin,32176
Cauich,32087
Briseño,32034
Burgos,31952
Palafox,31938
Sifuentes,31923
Plascencia,31860
Ovando,31472
Bahena,31425
Canales,31412
Ku,31348
Conde,31341
Clemente,31318
Camarena,31282
Elizondo,31206
Lozada,31108
Abarca,30890
Sepulveda,30881
Perea,30832
Bueno,30827
Naranjo,30637
Pichardo,30627
Felipe,30555
Armendariz,30487
de Luna,30467
Padron,30071
Lima,30028
Madrid,29872
Balam,29756
Fragoso,29587
Manuel,29514
Coronel,29478
Ascencio,29392
Garibay,29280
Centeno,29256
Tun,29127
Regalado,28990
Loredo,28810
Dzib,28799
Diego,28731
Jacinto,28692
Fabian,28669
Porras,28611
Meraz,28607
Jeronimo,28603
Curiel,28573
Jauregui,28536
Corrales,28397
Montes de Oca,28382
Lucero,28346
Valles,28254
Solorio,28230
Dueñas,28198
Calvillo,28122
Juan,28085
Olivera,28018
Farias,28013
Santamaria,27987
Manriquez,27771
Garay,27711
Terrazas,27631
Izquierdo,27446
Zazueta,27424
Peñaloza,27388
Andres,27377
Mendiola,27347
Gonzales,27263
Cepeda,27196
Palomares,27088
Olmedo,27034
Alegria,27030
Moctezuma,26986
Colorado,26954
Oviedo,26930
Plata,26925
Galaviz,26920
Villagomez,26885
Mandujano,26789
Alcocer,26756
Rosado,26556
Carlos,26542
Quevedo,26509
Arguello,26324
Moya,26239
Araiza,26238
Baeza,26182
Pool,26132
Ek,26117
Almazan,26103
Lerma,26103
Cordoba,26048
Nevarez,26030
Falcon,26016
Partida,26000
Ulloa,25971
Fajardo,25930
Llamas,25801
Puc,25761
Albarran,25682
Victoria,25681
Benavides,25500
Gabriel,25346
Arvizu,25324
Barba,25270
Ballesteros,25239
Maciel,25146
Puga,24962
Calixto,24948
Carvajal,24821
Laguna,24814
de Santiago,24781
Castañon,24737
Ocaña,24735
Agustin,24607
Moo,24596
Marcos,24516
Mariscal,24487
Botello,24382
de La Luz,24351
Sauceda,24267
Velazco,24250
Ugalde,24229
Amezcua,24098
Higuera,24032
Medellin,23999
Mateos,23986
Gasca,23971
Davalos,23948
Paniagua,23940
Calzada,23878
Geronimo,23862
Dimas,23755
Alonzo,23726
Carrizales,23604
Arana,23588
Quiñonez,23567
Gudiño,23551
Ambriz,23506
Manzo,23493
Loya,23466
Haro,23455
Melo,23442
Lezama,23406
Alva,23355
Loza,23349
Lazcano,23229
Calvo,23146
Orta,23145
Javier,23130
Mendieta,23069
Bocanegra,23007
Cristobal,22967
Palomino,22891
Bernabe,22883
Echeverria,22828
Garnica,22823
Lechuga,22814
Iñiguez,22735
Guajardo,22721
Jurado,22686
Galan,22684
Montelongo,22682
Chaparro,22605
Urias,22537
Galeana,22441
Cobos,22338
Ovalle,22324
